Data-set,SD-pn-freq-2-binary,SSDP+-pn-freq-2-binary,SMHDD-pn-freq-2-binary,SD-pn-freq-2-nominal,SSDP+-pn-freq-2-nominal,SMHDD-pn-freq-2-nominal,SD-pn-freq-4-binary,SSDP+-pn-freq-4-binary,SMHDD-pn-freq-4-binary,SD-pn-freq-4-nominal,SSDP+-pn-freq-4-nominal,SMHDD-pn-freq-4-nominal,SD-pn-freq-8-binary,SSDP+-pn-freq-8-binary,SMHDD-pn-freq-8-binary,SD-pn-freq-8-nominal,SSDP+-pn-freq-8-nominal,SMHDD-pn-freq-8-nominal,SD-pn-width-2-binary,SSDP+-pn-width-2-binary,SMHDD-pn-width-2-binary,SD-pn-width-2-nominal,SSDP+-pn-width-2-nominal,SMHDD-pn-width-2-nominal,SD-pn-width-4-binary,SSDP+-pn-width-4-binary,SMHDD-pn-width-4-binary,SD-pn-width-4-nominal,SSDP+-pn-width-4-nominal,SMHDD-pn-width-4-nominal,SD-pn-width-8-binary,SSDP+-pn-width-8-binary,SMHDD-pn-width-8-binary,SD-pn-width-8-nominal,SSDP+-pn-width-8-nominal,SMHDD-pn-width-8-nominal,SMHDD-1.0-freq-2-nominal,SMHDD-1.0-freq-4-binary,SMHDD-1.0-freq-4-nominal,SMHDD-1.0-freq-8-binary,SMHDD-1.0-freq-8-nominal,SMHDD-1.0-width-2-nominal,SMHDD-1.0-width-4-binary,SMHDD-1.0-width-4-nominal,SMHDD-1.0-width-8-binary,SMHDD-1.0-width-8-nominal
alon,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.6738813735691986,0.6701352757544224,0.6701352757544224,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8104058272632674,0.8104058272632674,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7281997918834547,0.7281997918834547,0.7898022892819982,0.7452653485952133,0.7452653485952133,0.8156087408949014,0.8014568158168576,0.8014568158168576,0.677003121748179,0.6576482830385016,0.6576482830385016,0.8070759625390218,0.7860561914672216,0.7860561914672216,0.5579604578563997,0.5327783558792925,0.5327783558792925,0.5548387096774194,0.758168574401665,0.3662851196670135,0.8158168574401665,0.1854318418314256,0.7475546305931322,0.8093652445369408,0.6505723204994797,0.8158168574401665,0.5517169614984391
alon,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.6738813735691986,0.673465140478668,0.673465140478668,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8066597294484913,0.8066597294484913,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.741519250780437,0.741519250780437,0.7898022892819982,0.733194588969823,0.733194588969823,0.8156087408949014,0.795005202913632,0.795005202913632,0.677003121748179,0.6503642039542145,0.6503642039542145,0.8070759625390218,0.7860561914672216,0.7860561914672216,0.5579604578563997,0.5423517169614984,0.5423517169614984,0.5525494276795005,0.7604578563995839,0.3662851196670135,0.8249739854318419,0.1854318418314256,0.725910509885536,0.7977107180020815,0.6480749219562956,0.8066597294484913,0.5465140478668055
alon,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.6738813735691986,0.6738813735691986,0.6738813735691986,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8047866805411031,0.8047866805411031,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7406867845993756,0.7406867845993756,0.7898022892819982,0.7404786680541102,0.7404786680541102,0.8156087408949014,0.7987513007284082,0.7987513007284082,0.677003121748179,0.6439125910509886,0.6439125910509886,0.8070759625390218,0.7800208116545264,0.7800208116545264,0.5579604578563997,0.5483870967741936,0.5483870967741936,0.5506763787721124,0.7571279916753382,0.3662851196670135,0.8253902185223726,0.1854318418314256,0.7646201873048908,0.7972944849115507,0.6545265348595214,0.8199791883454735,0.5540062434963579
alon,0.5575442247658688,0.5525494276795005,0.5525494276795005,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.6738813735691986,0.673465140478668,0.673465140478668,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8024973985431844,0.8024973985431844,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7396462018730489,0.7396462018730489,0.7898022892819982,0.7296566077003122,0.7296566077003122,0.8156087408949014,0.7816857440166494,0.7816857440166494,0.677003121748179,0.6557752341311136,0.6557752341311136,0.8070759625390218,0.7800208116545264,0.7800208116545264,0.5579604578563997,0.5446409989594172,0.5446409989594172,0.5506763787721124,0.7567117585848074,0.3662851196670135,0.8222684703433923,0.1854318418314256,0.7373569198751301,0.7960457856399584,0.6349635796045786,0.8226847034339231,0.531945889698231
alon,0.5575442247658688,0.5525494276795005,0.5525494276795005,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.6738813735691986,0.6697190426638917,0.6697190426638917,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8104058272632674,0.8104058272632674,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7238293444328824,0.7238293444328824,0.7898022892819982,0.7417273673257023,0.7417273673257023,0.8156087408949014,0.7958376690946931,0.7958376690946931,0.677003121748179,0.6428720083246617,0.6428720083246617,0.8070759625390218,0.7818938605619146,0.7818938605619146,0.5579604578563997,0.5423517169614984,0.5423517169614984,0.5506763787721124,0.7604578563995839,0.3662851196670135,0.8276795005202915,0.1854318418314256,0.744432882414152,0.7960457856399585,0.6466181061394383,0.8074921956295528,0.5404786680541103
alon,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.5575442247658688,0.5548387096774194,0.5548387096774194,0.6738813735691986,0.6697190426638917,0.6697190426638917,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8081165452653487,0.8081165452653487,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7400624349635796,0.7400624349635796,0.7898022892819982,0.7490114464099896,0.7490114464099896,0.8156087408949014,0.7977107180020815,0.7977107180020815,0.677003121748179,0.6578563995837668,0.6578563995837668,0.8070759625390218,0.7746097814776275,0.7746097814776275,0.5579604578563997,0.5465140478668055,0.5465140478668055,0.5529656607700313,0.7571279916753382,0.3662851196670135,0.8332986472424556,0.1854318418314256,0.7475546305931322,0.7918834547346516,0.6474505723204994,0.8199791883454735,0.5423517169614984
alon,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.5575442247658688,0.5548387096774194,0.5548387096774194,0.6738813735691986,0.673465140478668,0.673465140478668,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8126951092611863,0.8126951092611863,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7406867845993756,0.7406867845993756,0.7898022892819982,0.7400624349635796,0.7400624349635796,0.8156087408949014,0.7710718002081165,0.7710718002081165,0.677003121748179,0.6532778355879292,0.6532778355879292,0.8070759625390218,0.7818938605619146,0.7818938605619146,0.5579604578563997,0.5423517169614984,0.5423517169614984,0.5529656607700313,0.7604578563995839,0.3662851196670135,0.82684703433923,0.1854318418314256,0.7402705515088449,0.8014568158168578,0.6514047866805412,0.8360041623309054,0.5423517169614984
alon,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.6738813735691986,0.6701352757544224,0.6701352757544224,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8029136316337151,0.8029136316337151,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7350676378772112,0.7350676378772112,0.7898022892819982,0.7304890738813736,0.7304890738813736,0.8156087408949014,0.8037460978147765,0.8037460978147765,0.677003121748179,0.641207075962539,0.641207075962539,0.8070759625390218,0.7800208116545264,0.7800208116545264,0.5579604578563997,0.5442247658688866,0.5442247658688866,0.5525494276795005,0.7571279916753382,0.3662851196670135,0.8226847034339231,0.1854318418314256,0.7535900104058273,0.7991675338189389,0.6536940686784598,0.8172736732570239,0.5423517169614984
alon,0.5575442247658688,0.5529656607700313,0.5529656607700313,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.6738813735691986,0.673465140478668,0.673465140478668,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.7989594172736733,0.7989594172736733,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7286160249739855,0.7286160249739855,0.7898022892819982,0.739646201873049,0.739646201873049,0.8156087408949014,0.7972944849115506,0.7972944849115506,0.677003121748179,0.6430801248699273,0.6430801248699273,0.8070759625390218,0.7823100936524453,0.7823100936524453,0.5579604578563997,0.5404786680541103,0.5404786680541103,0.5529656607700313,0.7604578563995839,0.3662851196670135,0.8212278876170658,0.1854318418314256,0.7350676378772112,0.7900104058272635,0.6549427679500519,0.8154006243496358,0.5369406867845994
alon,0.5575442247658688,0.5506763787721124,0.5506763787721124,0.5575442247658688,0.5502601456815818,0.5502601456815818,0.6738813735691986,0.6711758584807491,0.6711758584807491,0.3502601456815817,0.3502601456815817,0.3502601456815817,0.7829344432882415,0.8043704474505724,0.8043704474505724,0.1831425598335067,0.1831425598335067,0.1831425598335067,0.7898022892819982,0.7427679500520292,0.7427679500520292,0.7898022892819982,0.7388137356919875,0.7388137356919875,0.8156087408949014,0.8006243496357962,0.8006243496357962,0.677003121748179,0.6455775234131114,0.6455775234131114,0.8070759625390218,0.7804370447450572,0.7804370447450572,0.5579604578563997,0.5423517169614984,0.5423517169614984,0.5525494276795005,0.75525494276795,0.3662851196670135,0.8199791883454735,0.1854318418314256,0.7369406867845993,0.803329864724246,0.6526534859521332,0.8176899063475547,0.5502601456815815
burczynski,0.6797445594891188,0.6737925475850952,0.6737925475850952,0.6797445594891188,0.6776117552235104,0.6776117552235104,0.7710087420174841,0.8329344658689317,0.8329344658689317,0.4798065596131192,0.4798065596131192,0.4798065596131192,0.8536425072850145,0.9268026536053072,0.9268026536053072,0.2698245396490792,0.2698245396490792,0.2698245396490792,0.8965961931923863,0.9137578275156548,0.9137578275156548,0.8965961931923863,0.9191394382788765,0.9191394382788765,0.83251286502573,0.929034658069316,0.929034658069316,0.8372992745985492,0.8047120094240189,0.8047120094240189,0.854535309070618,0.930497860995722,0.930497860995722,0.5811891623783249,0.5550995101990204,0.5550995101990204,0.6764957529915059,0.8703825407650815,0.4711513423026846,0.9310930621861242,0.2698245396490792,0.9094922189844382,0.9339946679893358,0.8140368280736562,0.9293818587637176,0.5561907123814247
burczynski,0.6797445594891188,0.6776117552235104,0.6776117552235104,0.6797445594891188,0.6742389484778969,0.6742389484778969,0.7710087420174841,0.8333808667617335,0.8333808667617335,0.4798065596131192,0.4798065596131192,0.4798065596131192,0.8536425072850145,0.9296298592597184,0.9296298592597184,0.2698245396490792,0.2698245396490792,0.2698245396490792,0.8965961931923863,0.9257858515717032,0.9257858515717032,0.8965961931923863,0.9285882571765144,0.9285882571765144,0.83251286502573,0.9275714551429102,0.9275714551429102,0.8372992745985492,0.8072912145824291,0.8072912145824291,0.854535309070618,0.929059458118916,0.929059458118916,0.5811891623783249,0.6413292826585653,0.6413292826585653,0.6775125550251099,0.8694897389794779,0.4711513423026846,0.9274722549445098,0.2698245396490792,0.9279186558373116,0.925785851571703,0.7997519995039991,0.93253146506293,0.5594891189782378
burczynski,0.6797445594891188,0.6776117552235104,0.6776117552235104,0.6797445594891188,0.6776117552235104,0.6776117552235104,0.7710087420174841,0.8333808667617335,0.8333808667617335,0.4798065596131192,0.4798065596131192,0.4798065596131192,0.8536425072850145,0.9304234608469216,0.9304234608469216,0.2698245396490792,0.2698245396490792,0.2698245396490792,0.8965961931923863,0.9232066464132928,0.9232066464132928,0.8965961931923863,0.9218426436852872,0.9218426436852872,0.83251286502573,0.9297042594085188,0.9297042594085188,0.8372992745985492,0.8031248062496126,0.8031248062496126,0.854535309070618,0.9241986483972968,0.9241986483972968,0.5811891623783249,0.5612995225990451,0.5612995225990451,0.6775125550251099,0.8695889391778783,0.4711513423026846,0.9269266538533076,0.2698245396490792,0.9266786533573068,0.9302746605493212,0.8133672267344535,0.9324322648645296,0.5529667059334118
