algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-4_binary,1,15.2,0.9,0.496
SD,alon-pn-freq-4_binary,2,15.2,0.9,0.475
SD,alon-pn-freq-4_binary,3,15.2,0.9,0.474
SD,alon-pn-freq-4_binary,4,15.2,0.9,0.475
SD,alon-pn-freq-4_binary,5,15.2,0.9,0.466
SD,alon-pn-freq-4_binary,6,15.2,0.9,0.464
SD,alon-pn-freq-4_binary,7,15.2,0.9,0.467
SD,alon-pn-freq-4_binary,8,15.2,0.9,0.467
SD,alon-pn-freq-4_binary,9,15.2,0.9,0.467
SD,alon-pn-freq-4_binary,10,15.2,0.9,0.469
SSDP+,alon-pn-freq-4_binary,1,28.6,0.925,1.686
SSDP+,alon-pn-freq-4_binary,2,26.4,0.9,1.163
SSDP+,alon-pn-freq-4_binary,3,28.5,0.825,1.559
SSDP+,alon-pn-freq-4_binary,4,27.4,0.9,1.469
SSDP+,alon-pn-freq-4_binary,5,26.9,0.95,1.042
SSDP+,alon-pn-freq-4_binary,6,27.6,0.925,1.559
SSDP+,alon-pn-freq-4_binary,7,25.7,0.95,1.338
SSDP+,alon-pn-freq-4_binary,8,25.1,0.95,1.112
SSDP+,alon-pn-freq-4_binary,9,27.4,0.9,1.328
SSDP+,alon-pn-freq-4_binary,10,26.0,0.95,0.987
SMHDD,alon-pn-freq-4_binary,1,28.6,0.925,0.613
SMHDD,alon-pn-freq-4_binary,2,26.4,0.9,0.404
SMHDD,alon-pn-freq-4_binary,3,28.5,0.825,0.562
SMHDD,alon-pn-freq-4_binary,4,27.4,0.9,0.518
SMHDD,alon-pn-freq-4_binary,5,26.9,0.95,0.338
SMHDD,alon-pn-freq-4_binary,6,27.6,0.925,0.486
SMHDD,alon-pn-freq-4_binary,7,25.7,0.95,0.49
SMHDD,alon-pn-freq-4_binary,8,25.1,0.95,0.373
SMHDD,alon-pn-freq-4_binary,9,27.4,0.9,0.491
SMHDD,alon-pn-freq-4_binary,10,26.0,0.95,0.268
SD,burczynski-pn-freq-4_binary,1,30.0,0.7966101694915254,18.197
SD,burczynski-pn-freq-4_binary,2,30.0,0.7966101694915254,18.197
SD,burczynski-pn-freq-4_binary,3,30.0,0.7966101694915254,18.227
SD,burczynski-pn-freq-4_binary,4,30.0,0.7966101694915254,18.438
SD,burczynski-pn-freq-4_binary,5,30.0,0.7966101694915254,18.446
SD,burczynski-pn-freq-4_binary,6,30.0,0.7966101694915254,18.442
SD,burczynski-pn-freq-4_binary,7,30.0,0.7966101694915254,18.424
SD,burczynski-pn-freq-4_binary,8,30.0,0.7966101694915254,18.564
SD,burczynski-pn-freq-4_binary,9,30.0,0.7966101694915254,18.364
SD,burczynski-pn-freq-4_binary,10,30.0,0.7966101694915254,18.939
SSDP+,burczynski-pn-freq-4_binary,1,45.4,0.9661016949152542,56.921
SSDP+,burczynski-pn-freq-4_binary,2,44.3,0.9491525423728814,77.757
SSDP+,burczynski-pn-freq-4_binary,3,44.3,0.9322033898305084,67.24
SSDP+,burczynski-pn-freq-4_binary,4,43.2,0.9830508474576272,71.483
SSDP+,burczynski-pn-freq-4_binary,5,43.6,0.8983050847457628,69.762
SSDP+,burczynski-pn-freq-4_binary,6,44.1,0.9491525423728814,52.477
SSDP+,burczynski-pn-freq-4_binary,7,43.9,0.9661016949152542,84.87
SSDP+,burczynski-pn-freq-4_binary,8,40.9,0.8983050847457628,38.045
SSDP+,burczynski-pn-freq-4_binary,9,43.8,0.9322033898305084,60.918
SSDP+,burczynski-pn-freq-4_binary,10,43.2,0.9491525423728814,56.402
SMHDD,burczynski-pn-freq-4_binary,1,45.4,0.9661016949152542,14.189
SMHDD,burczynski-pn-freq-4_binary,2,44.3,0.9491525423728814,17.214
SMHDD,burczynski-pn-freq-4_binary,3,44.3,0.9322033898305084,14.968
SMHDD,burczynski-pn-freq-4_binary,4,43.2,0.9830508474576272,14.46
SMHDD,burczynski-pn-freq-4_binary,5,43.6,0.8983050847457628,17.263
SMHDD,burczynski-pn-freq-4_binary,6,44.1,0.9491525423728814,12.765
SMHDD,burczynski-pn-freq-4_binary,7,43.9,0.9661016949152542,21.511
SMHDD,burczynski-pn-freq-4_binary,8,40.9,0.8983050847457628,10.128
SMHDD,burczynski-pn-freq-4_binary,9,43.8,0.9322033898305084,15.309
SMHDD,burczynski-pn-freq-4_binary,10,43.2,0.9491525423728814,14.087
SD,chiaretti-pn-freq-4_binary,1,31.0,0.6756756756756757,8.562
SD,chiaretti-pn-freq-4_binary,2,31.0,0.6756756756756757,8.963
SD,chiaretti-pn-freq-4_binary,3,31.0,0.6756756756756757,8.914
SD,chiaretti-pn-freq-4_binary,4,31.0,0.6756756756756757,8.946
SD,chiaretti-pn-freq-4_binary,5,31.0,0.6756756756756757,8.928
SD,chiaretti-pn-freq-4_binary,6,31.0,0.6756756756756757,9.023
SD,chiaretti-pn-freq-4_binary,7,31.0,0.6756756756756757,9.049
SD,chiaretti-pn-freq-4_binary,8,31.0,0.6756756756756757,9.022
SD,chiaretti-pn-freq-4_binary,9,31.0,0.6756756756756757,8.95
SD,chiaretti-pn-freq-4_binary,10,31.0,0.6756756756756757,9.008
SSDP+,chiaretti-pn-freq-4_binary,1,49.3,0.8648648648648649,19.731
SSDP+,chiaretti-pn-freq-4_binary,2,54.0,0.8918918918918919,25.79
SSDP+,chiaretti-pn-freq-4_binary,3,53.2,0.918918918918919,28.888
SSDP+,chiaretti-pn-freq-4_binary,4,53.6,0.8918918918918919,24.48
SSDP+,chiaretti-pn-freq-4_binary,5,52.1,0.8378378378378378,31.164
