algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-2_nominal,1,24.1,0.8,0.312
SD,alon-pn-freq-2_nominal,2,24.1,0.8,0.275
SD,alon-pn-freq-2_nominal,3,24.1,0.8,0.262
SD,alon-pn-freq-2_nominal,4,24.1,0.8,0.255
SD,alon-pn-freq-2_nominal,5,24.1,0.8,0.257
SD,alon-pn-freq-2_nominal,6,24.1,0.8,0.255
SD,alon-pn-freq-2_nominal,7,24.1,0.8,0.25
SD,alon-pn-freq-2_nominal,8,24.1,0.8,0.255
SD,alon-pn-freq-2_nominal,9,24.1,0.8,0.251
SD,alon-pn-freq-2_nominal,10,24.1,0.8,0.254
SSDP+,alon-pn-freq-2_nominal,1,24.0,0.8,0.279
SSDP+,alon-pn-freq-2_nominal,2,24.0,0.85,0.223
SSDP+,alon-pn-freq-2_nominal,3,23.9,0.825,0.216
SSDP+,alon-pn-freq-2_nominal,4,23.9,0.775,0.211
SSDP+,alon-pn-freq-2_nominal,5,24.0,0.8,0.213
SSDP+,alon-pn-freq-2_nominal,6,23.9,0.75,0.21
SSDP+,alon-pn-freq-2_nominal,7,23.9,0.825,0.191
SSDP+,alon-pn-freq-2_nominal,8,23.9,0.8,0.189
SSDP+,alon-pn-freq-2_nominal,9,23.8,0.8,0.184
SSDP+,alon-pn-freq-2_nominal,10,23.9,0.8,0.206
SMHDD,alon-pn-freq-2_nominal,1,24.0,0.8,0.14
SMHDD,alon-pn-freq-2_nominal,2,24.0,0.85,0.067
SMHDD,alon-pn-freq-2_nominal,3,23.9,0.825,0.064
SMHDD,alon-pn-freq-2_nominal,4,23.9,0.775,0.068
SMHDD,alon-pn-freq-2_nominal,5,24.0,0.8,0.061
SMHDD,alon-pn-freq-2_nominal,6,23.9,0.75,0.062
SMHDD,alon-pn-freq-2_nominal,7,23.9,0.825,0.054
SMHDD,alon-pn-freq-2_nominal,8,23.9,0.8,0.053
SMHDD,alon-pn-freq-2_nominal,9,23.8,0.8,0.05
SMHDD,alon-pn-freq-2_nominal,10,23.9,0.8,0.06
SD,burczynski-pn-freq-2_nominal,1,32.9,0.9322033898305084,6.135
SD,burczynski-pn-freq-2_nominal,2,32.9,0.9322033898305084,6.186
SD,burczynski-pn-freq-2_nominal,3,32.9,0.9322033898305084,6.208
SD,burczynski-pn-freq-2_nominal,4,32.9,0.9322033898305084,6.166
SD,burczynski-pn-freq-2_nominal,5,32.9,0.9322033898305084,6.19
SD,burczynski-pn-freq-2_nominal,6,32.9,0.9322033898305084,6.15
SD,burczynski-pn-freq-2_nominal,7,32.9,0.9322033898305084,6.203
SD,burczynski-pn-freq-2_nominal,8,32.9,0.9322033898305084,6.25
SD,burczynski-pn-freq-2_nominal,9,32.9,0.9322033898305084,6.198
SD,burczynski-pn-freq-2_nominal,10,32.9,0.9322033898305084,6.197
SSDP+,burczynski-pn-freq-2_nominal,1,37.5,0.864406779661017,8.027
SSDP+,burczynski-pn-freq-2_nominal,2,37.3,0.864406779661017,7.795
SSDP+,burczynski-pn-freq-2_nominal,3,37.4,0.8813559322033898,7.721
SSDP+,burczynski-pn-freq-2_nominal,4,37.4,0.847457627118644,8.247
SSDP+,burczynski-pn-freq-2_nominal,5,37.4,0.8813559322033898,7.402
SSDP+,burczynski-pn-freq-2_nominal,6,37.5,0.847457627118644,7.952
SSDP+,burczynski-pn-freq-2_nominal,7,37.5,0.9322033898305084,8.115
SSDP+,burczynski-pn-freq-2_nominal,8,37.4,0.847457627118644,8.347
SSDP+,burczynski-pn-freq-2_nominal,9,37.3,0.8305084745762712,7.63
SSDP+,burczynski-pn-freq-2_nominal,10,37.4,0.8813559322033898,8.703
SMHDD,burczynski-pn-freq-2_nominal,1,37.5,0.864406779661017,1.453
SMHDD,burczynski-pn-freq-2_nominal,2,37.3,0.864406779661017,1.491
SMHDD,burczynski-pn-freq-2_nominal,3,37.4,0.8813559322033898,1.458
SMHDD,burczynski-pn-freq-2_nominal,4,37.4,0.847457627118644,1.587
SMHDD,burczynski-pn-freq-2_nominal,5,37.4,0.8813559322033898,1.432
SMHDD,burczynski-pn-freq-2_nominal,6,37.5,0.847457627118644,1.51
SMHDD,burczynski-pn-freq-2_nominal,7,37.5,0.9322033898305084,1.536
SMHDD,burczynski-pn-freq-2_nominal,8,37.4,0.847457627118644,1.629
SMHDD,burczynski-pn-freq-2_nominal,9,37.3,0.8305084745762712,1.449
SMHDD,burczynski-pn-freq-2_nominal,10,37.4,0.8813559322033898,1.698
SD,chiaretti-pn-freq-2_nominal,1,38.5,0.8783783783783784,3.292
SD,chiaretti-pn-freq-2_nominal,2,38.5,0.8783783783783784,3.312
SD,chiaretti-pn-freq-2_nominal,3,38.5,0.8783783783783784,3.348
SD,chiaretti-pn-freq-2_nominal,4,38.5,0.8783783783783784,3.316
SD,chiaretti-pn-freq-2_nominal,5,38.5,0.8783783783783784,3.316
SD,chiaretti-pn-freq-2_nominal,6,38.5,0.8783783783783784,3.264
SD,chiaretti-pn-freq-2_nominal,7,38.5,0.8783783783783784,3.306
SD,chiaretti-pn-freq-2_nominal,8,38.5,0.8783783783783784,3.321
SD,chiaretti-pn-freq-2_nominal,9,38.5,0.8783783783783784,3.321
SD,chiaretti-pn-freq-2_nominal,10,38.5,0.8783783783783784,3.322
SSDP+,chiaretti-pn-freq-2_nominal,1,42.2,0.7027027027027027,3.613
SSDP+,chiaretti-pn-freq-2_nominal,2,42.2,0.7027027027027027,3.622
SSDP+,chiaretti-pn-freq-2_nominal,3,42.2,0.7027027027027027,3.545
SSDP+,chiaretti-pn-freq-2_nominal,4,42.2,0.7027027027027027,3.505
SSDP+,chiaretti-pn-freq-2_nominal,5,42.2,0.7027027027027027,3.713
SSDP+,chiaretti-pn-freq-2_nominal,6,42.2,0.7027027027027027,3.953
SSDP+,chiaretti-pn-freq-2_nominal,7,42.2,0.7162162162162162,3.623
SSDP+,chiaretti-pn-freq-2_nominal,8,42.2,0.7162162162162162,3.825
SSDP+,chiaretti-pn-freq-2_nominal,9,42.2,0.7162162162162162,3.645
SSDP+,chiaretti-pn-freq-2_nominal,10,42.2,0.7027027027027027,3.569
SMHDD,chiaretti-pn-freq-2_nominal,1,42.2,0.7027027027027027,0.656
SMHDD,chiaretti-pn-freq-2_nominal,2,42.2,0.7027027027027027,0.693
SMHDD,chiaretti-pn-freq-2_nominal,3,42.2,0.7027027027027027,0.659
SMHDD,chiaretti-pn-freq-2_nominal,4,42.2,0.7027027027027027,0.706
SMHDD,chiaretti-pn-freq-2_nominal,5,42.2,0.7027027027027027,0.747
SMHDD,chiaretti-pn-freq-2_nominal,6,42.2,0.7027027027027027,0.9
SMHDD,chiaretti-pn-freq-2_nominal,7,42.2,0.7162162162162162,0.769
SMHDD,chiaretti-pn-freq-2_nominal,8,42.2,0.7162162162162162,0.849
SMHDD,chiaretti-pn-freq-2_nominal,9,42.2,0.7162162162162162,0.765
SMHDD,chiaretti-pn-freq-2_nominal,10,42.2,0.7027027027027027,0.725
SD,chin-pn-freq-2_nominal,1,42.6,0.96,5.663
SD,chin-pn-freq-2_nominal,2,42.6,0.96,5.729
SD,chin-pn-freq-2_nominal,3,42.6,0.96,5.726
SD,chin-pn-freq-2_nominal,4,42.6,0.96,5.792
SD,chin-pn-freq-2_nominal,5,42.6,0.96,5.712
SD,chin-pn-freq-2_nominal,6,42.6,0.96,5.669
SD,chin-pn-freq-2_nominal,7,42.6,0.96,5.691
SD,chin-pn-freq-2_nominal,8,42.6,0.96,5.652
SD,chin-pn-freq-2_nominal,9,42.6,0.96,5.697
SD,chin-pn-freq-2_nominal,10,42.6,0.96,5.643
SSDP+,chin-pn-freq-2_nominal,1,42.7,0.9733333333333334,5.32
SSDP+,chin-pn-freq-2_nominal,2,42.7,0.9733333333333334,5.092
SSDP+,chin-pn-freq-2_nominal,3,42.6,0.96,4.885
SSDP+,chin-pn-freq-2_nominal,4,42.7,0.9733333333333334,5.236
SSDP+,chin-pn-freq-2_nominal,5,42.7,0.9733333333333334,4.922
SSDP+,chin-pn-freq-2_nominal,6,42.7,0.9733333333333334,5.101
SSDP+,chin-pn-freq-2_nominal,7,42.7,0.96,5.324
SSDP+,chin-pn-freq-2_nominal,8,42.7,0.9733333333333334,4.941
SSDP+,chin-pn-freq-2_nominal,9,42.7,0.9733333333333334,4.73
SSDP+,chin-pn-freq-2_nominal,10,42.7,0.96,5.007
SMHDD,chin-pn-freq-2_nominal,1,42.7,0.9733333333333334,1.083
SMHDD,chin-pn-freq-2_nominal,2,42.7,0.9733333333333334,1.004
SMHDD,chin-pn-freq-2_nominal,3,42.6,0.96,0.967
SMHDD,chin-pn-freq-2_nominal,4,42.7,0.9733333333333334,1.036
SMHDD,chin-pn-freq-2_nominal,5,42.7,0.9733333333333334,0.953
SMHDD,chin-pn-freq-2_nominal,6,42.7,0.9733333333333334,0.978
SMHDD,chin-pn-freq-2_nominal,7,42.7,0.96,1.062
SMHDD,chin-pn-freq-2_nominal,8,42.7,0.9733333333333334,0.993
SMHDD,chin-pn-freq-2_nominal,9,42.7,0.9733333333333334,0.954
SMHDD,chin-pn-freq-2_nominal,10,42.7,0.96,0.983
SD,chowdary-pn-freq-2_nominal,1,45.8,0.9838709677419355,5.0
SD,chowdary-pn-freq-2_nominal,2,45.8,0.9838709677419355,5.054
SD,chowdary-pn-freq-2_nominal,3,45.8,0.9838709677419355,5.148
SD,chowdary-pn-freq-2_nominal,4,45.8,0.9838709677419355,5.086
SD,chowdary-pn-freq-2_nominal,5,45.8,0.9838709677419355,5.059
SD,chowdary-pn-freq-2_nominal,6,45.8,0.9838709677419355,5.059
SD,chowdary-pn-freq-2_nominal,7,45.8,0.9838709677419355,5.073
SD,chowdary-pn-freq-2_nominal,8,45.8,0.9838709677419355,5.086
SD,chowdary-pn-freq-2_nominal,9,45.8,0.9838709677419355,5.066
SD,chowdary-pn-freq-2_nominal,10,45.8,0.9838709677419355,5.121
SSDP+,chowdary-pn-freq-2_nominal,1,46.3,0.9838709677419355,3.536
SSDP+,chowdary-pn-freq-2_nominal,2,46.4,0.9838709677419355,3.94
SSDP+,chowdary-pn-freq-2_nominal,3,46.5,0.9516129032258065,3.775
SSDP+,chowdary-pn-freq-2_nominal,4,46.3,0.967741935483871,3.799
SSDP+,chowdary-pn-freq-2_nominal,5,46.3,0.9838709677419355,3.513
SSDP+,chowdary-pn-freq-2_nominal,6,46.4,0.9516129032258065,3.56
SSDP+,chowdary-pn-freq-2_nominal,7,46.4,0.9838709677419355,3.899
SSDP+,chowdary-pn-freq-2_nominal,8,46.5,0.9516129032258065,3.678
SSDP+,chowdary-pn-freq-2_nominal,9,46.5,0.9516129032258065,3.915
SSDP+,chowdary-pn-freq-2_nominal,10,46.4,0.967741935483871,3.556
SMHDD,chowdary-pn-freq-2_nominal,1,46.3,0.9838709677419355,0.814
SMHDD,chowdary-pn-freq-2_nominal,2,46.4,0.9838709677419355,0.921
SMHDD,chowdary-pn-freq-2_nominal,3,46.5,0.9516129032258065,0.904
SMHDD,chowdary-pn-freq-2_nominal,4,46.3,0.967741935483871,0.895
SMHDD,chowdary-pn-freq-2_nominal,5,46.3,0.9838709677419355,0.83
SMHDD,chowdary-pn-freq-2_nominal,6,46.4,0.9516129032258065,0.795
SMHDD,chowdary-pn-freq-2_nominal,7,46.4,0.9838709677419355,0.914
SMHDD,chowdary-pn-freq-2_nominal,8,46.5,0.9516129032258065,0.878
SMHDD,chowdary-pn-freq-2_nominal,9,46.5,0.9516129032258065,0.922
SMHDD,chowdary-pn-freq-2_nominal,10,46.4,0.967741935483871,0.834
SD,christensen-pn-freq-2_nominal,1,98.4,0.9911504424778761,0.58
SD,christensen-pn-freq-2_nominal,2,98.4,0.9911504424778761,0.58
SD,christensen-pn-freq-2_nominal,3,98.4,0.9911504424778761,0.578
SD,christensen-pn-freq-2_nominal,4,98.4,0.9911504424778761,0.584
